Title,Price,image
Canon EOS 1500D DSLR Camera Body+ 18-55 mm IS II Lens,"₹36,499",https://rukminim2.flixcart.com/image/312/312/kk01pjk0/dslr-camera/f/v/o/eos-1500d-canon-original-imafzfugydh2mjgf.jpeg?q=70
Canon EOS 200D II DSLR Camera EF-S18-55mm IS STM,"₹56,499",https://rukminim2.flixcart.com/image/312/312/juwzf680/dslr-camera/g/a/q/200d-ii-200d-ii-canon-original-imaffvrhzyqzayys.jpeg?q=70
"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens","₹26,999",https://rukminim2.flixcart.com/image/312/312/jfbfde80/camera/n/r/n/canon-eos-eos-3000d-dslr-original-imaf3t5h9yuyc5zu.jpeg?q=70
NIKON Z7 II Kit Mirrorless Camera 24-70mm F/4S with 64GB UHS-II SD Card,"₹2,73,599",https://rukminim2.flixcart.com/image/312/312/kq9ta4w0/dslr-camera/r/1/y/z7-ii-z7-ii-kit-nikon-original-imag4btqp52rdzgp.jpeg?q=70
Panasonic G Series DC-G95HGW-K Mirrorless Camera G95 with 14-140mm lens,"₹95,873",https://rukminim2.flixcart.com/image/312/312/jynat8w0/dslr-camera/y/z/g/dc-g95hgw-k-dc-g95hgw-k-panasonic-original-imafgu2j4nauf2na.jpeg?q=70
Canon EOS 3925C010A DSLR Camera 1,"₹86,995",https://rukminim2.flixcart.com/image/312/312/kz4gh3k0/dslr-camera/l/5/1/eos-850d-ef-s-18-55mm-f-4-5-6-is-stm-24-1-3925c010a-canon-original-imagb7dhddz7hqax.jpeg?q=70
FUJIFILM X Series X-T200 Mirrorless Camera Body with 15-45 mm Lens,"₹61,999",https://rukminim2.flixcart.com/image/312/312/k8g8knk0/dslr-camera/s/g/v/x-t200-x-t200-fujifilm-original-imafqggmvuazabpa.jpeg?q=70
NIKON D750 DSLR Camera Body with Single Lens: 24-120mm VR Lens,"₹1,58,490",https://rukminim2.flixcart.com/image/312/312/juu4jgw0/dslr-camera/d/9/c/d750-black-d750-nikon-original-imaffv8y2y3mamqm.jpeg?q=70
FUJIFILM X Series X-T4 Mirrorless Camera Body with XF 16-80mm Lens,"₹1,85,999",https://rukminim2.flixcart.com/image/312/312/kamtsi80/dslr-camera/z/h/f/x-t4-26-mp-x-t4-fujifilm-original-imafs5jxc4zakajw.jpeg?q=70
NIKON Z5 Mirrorless Camera 24-50 mm,"₹1,24,538",https://rukminim2.flixcart.com/image/312/312/kokdci80/dslr-camera/5/w/6/z-24-50mm-z5-nikon-original-imag2zugmcsgfhf3.jpeg?q=70
